Date, Revenue 
2017-01-22," $2,276.00 "
2017-01-23," $2,179.81 "
2017-01-24," $1,210.80 "
2017-01-25," $7,328.98 "
2017-01-26," $1,876.95 "
2017-01-27," $7,075.69 "
2017-01-28," $1,420.27 "
2017-01-29," $1,077.70 "
2017-01-30," $1,441.14 "
2017-01-31," $2,169.25 "
2017-02-01," $4,007.71 "
2017-02-02," $1,462.00 "
2017-02-03," $3,991.00 "
2017-02-04," $1,486.31 "
2017-02-05, $704.50 
2017-02-06," $5,369.11 "
2017-02-07," $5,032.69 "
2017-02-08," $3,084.75 "
2017-02-09," $4,354.95 "
2017-02-10," $5,096.70 "
2017-02-11, $476.00 
2017-02-12," $1,237.00 "
2017-02-13," $12,402.52 "
2017-02-14," $9,596.58 "
2017-02-15," $11,382.80 "
2017-02-16," $1,910.81 "
2017-02-17," $4,933.95 "
2017-02-18," $2,431.25 "
2017-02-19," $1,471.00 "
2017-02-20," $3,684.58 "
2017-02-21," $11,077.51 "
2017-02-22," $6,345.25 "
2017-02-23," $4,085.77 "
2017-02-24," $2,460.25 "
2017-02-25," $7,709.90 "
2017-02-26," $4,658.99 "
2017-02-27," $6,573.53 "
2017-02-28," $7,440.84 "
2017-03-01," $8,767.39 "
2017-03-02," $11,272.34 "
2017-03-03," $8,426.08 "
2017-03-04," $2,927.50 "
2017-03-05," $2,630.60 "
2017-03-06," $10,638.93 "
2017-03-07," $10,122.69 "
2017-03-08," $10,699.76 "
2017-03-09," $4,708.44 "
2017-03-10," $7,584.81 "
2017-03-11," $1,741.15 "
2017-03-12," $1,650.25 "
2017-03-13," $5,451.41 "
2017-03-14," $3,694.28 "
2017-03-15," $4,226.15 "
2017-03-16," $4,995.90 "
2017-03-17," $9,141.37 "
2017-03-18," $2,339.28 "
2017-03-19," $3,986.84 "
2017-03-20," $12,522.99 "
2017-03-21," $16,187.75 "
2017-03-22," $7,963.16 "
2017-03-23," $10,462.20 "
2017-03-24," $9,369.39 "
2017-03-25," $3,860.64 "
2017-03-26," $8,001.57 "
2017-03-27," $5,353.25 "
2017-03-28," $8,114.33 "
2017-03-29," $13,227.68 "
2017-03-30," $9,368.19 "
2017-03-31," $6,752.91 "
2017-04-01," $2,898.25 "
2017-04-02," $2,898.50 "
2017-04-03," $20,787.59 "
2017-04-04," $10,358.62 "
2017-04-05," $19,076.47 "
2017-04-06," $10,459.38 "
2017-04-07," $3,393.72 "
2017-04-08," $2,939.90 "
2017-04-09," $7,211.57 "
2017-04-10," $5,328.06 "
2017-04-11," $12,395.07 "
2017-04-12," $12,336.88 "
2017-04-13," $11,204.95 "
2017-04-14," $4,825.27 "
2017-04-15," $3,804.45 "
2017-04-16," $3,585.18 "
2017-04-17," $9,630.62 "
2017-04-18," $12,331.59 "
2017-04-19," $8,616.69 "
2017-04-20," $11,086.56 "
2017-04-21," $8,408.65 "
2017-04-22," $3,315.25 "
2017-04-23," $6,620.75 "
2017-04-24," $9,800.24 "
2017-04-25," $9,086.80 "
2017-04-26," $9,680.32 "
2017-04-27," $12,063.89 "
2017-04-28," $12,188.11 "
2017-04-29," $1,646.00 "
2017-04-30," $4,178.10 "
2017-05-01," $9,800.95 "
2017-05-02," $11,496.79 "
2017-05-03," $16,266.68 "
2017-05-04," $6,329.04 "
2017-05-05," $4,006.14 "
2017-05-06," $2,455.50 "
2017-05-07," $6,102.21 "
2017-05-08," $8,520.08 "
2017-05-09," $6,219.90 "
2017-05-10," $10,522.69 "
2017-05-11," $6,370.34 "
2017-05-12," $5,816.97 "
2017-05-13," $5,321.05 "
2017-05-14," $3,951.24 "
2017-05-15," $10,828.66 "
2017-05-16," $6,661.74 "
2017-05-17," $8,721.01 "
2017-05-18," $5,142.42 "
2017-05-19," $4,829.88 "
2017-05-20," $1,729.81 "
2017-05-21," $3,835.88 "
2017-05-22," $6,817.93 "
2017-05-23," $8,734.48 "
2017-05-24," $6,998.82 "
2017-05-25," $6,248.85 "
2017-05-26," $2,706.89 "
2017-05-27," $2,231.45 "
2017-05-28," $2,416.70 "
2017-05-29," $2,200.90 "
2017-05-30," $5,522.05 "
2017-05-31," $7,822.18 "
2017-06-01," $6,599.04 "
2017-06-02," $6,840.11 "
2017-06-03," $1,886.77 "
2017-06-04," $3,419.80 "
2017-06-05," $4,630.24 "
2017-06-06," $6,922.80 "
2017-06-07," $11,676.46 "
2017-06-08," $6,168.53 "
2017-06-09," $7,778.73 "
2017-06-10," $1,325.52 "
2017-06-11," $3,036.50 "
2017-06-12," $6,754.84 "
2017-06-13," $3,595.02 "
2017-06-14," $10,285.84 "
2017-06-15," $8,378.54 "
2017-06-16," $14,308.36 "
2017-06-17," $2,982.11 "
2017-06-18," $4,062.70 "
2017-06-19," $5,000.88 "
2017-06-20," $7,984.75 "
2017-06-21," $9,064.25 "
2017-06-22," $3,792.20 "
2017-06-23," $11,750.63 "
2017-06-24," $1,100.65 "
2017-06-25," $2,017.95 "
2017-06-26," $6,244.43 "
2017-06-27," $5,033.46 "
2017-06-28," $3,597.55 "
2017-06-29," $7,309.21 "
2017-06-30," $4,704.15 "
2017-07-01," $4,414.58 "
2017-07-02," $2,397.33 "
2017-07-03," $2,704.96 "
2017-07-04," $3,716.88 "
2017-07-05," $8,237.21 "
2017-07-06," $4,572.23 "
2017-07-07," $3,311.13 "
2017-07-08," $2,941.28 "
2017-07-09," $1,807.96 "
2017-07-10," $6,230.12 "
2017-07-11," $5,438.86 "
2017-07-12," $5,306.39 "
2017-07-13," $3,276.90 "
2017-07-14," $3,644.52 "
2017-07-15," $1,002.80 "
2017-07-16," $1,968.58 "
2017-07-17," $7,201.93 "
2017-07-18," $6,835.00 "
2017-07-19," $5,570.44 "
2017-07-20," $3,382.85 "
2017-07-21," $1,830.59 "
2017-07-22," $2,048.80 "
2017-07-23," $5,895.05 "
2017-07-24," $4,545.46 "
2017-07-25," $2,932.65 "
2017-07-26," $7,180.90 "
2017-07-27," $4,853.30 "
2017-07-28," $3,263.49 "
2017-07-29," $1,812.35 "
2017-07-30," $1,658.10 "
2017-07-31," $4,237.15 "
2017-08-01," $7,258.48 "
2017-08-02," $6,717.48 "
2017-08-03," $5,766.40 "
2017-08-04," $3,472.15 "
2017-08-05," $2,426.11 "
2017-08-06," $1,973.40 "
2017-08-07," $4,806.78 "
2017-08-08," $5,638.39 "
2017-08-09," $11,554.59 "
2017-08-10," $11,346.70 "
2017-08-11," $5,228.30 "
2017-08-12," $3,783.18 "
2017-08-13," $2,714.00 "
2017-08-14," $8,523.25 "
2017-08-15," $6,496.40 "
2017-08-16," $5,857.18 "
2017-08-17," $4,117.30 "
2017-08-18," $4,322.59 "
2017-08-19," $7,892.05 "
2017-08-20," $2,223.75 "
2017-08-21," $6,326.34 "
2017-08-22," $8,439.15 "
2017-08-23," $7,881.49 "
2017-08-24," $12,221.61 "
2017-08-25," $8,356.51 "
2017-08-26," $3,200.10 "
2017-08-27," $2,893.14 "
2017-08-28," $15,586.14 "
2017-08-29," $7,862.03 "
2017-08-30," $7,988.08 "
2017-08-31," $18,211.07 "
2017-09-01," $11,645.99 "
2017-09-02," $4,953.38 "
2017-09-03," $3,874.21 "
2017-09-04," $4,798.95 "
2017-09-05," $9,579.42 "
2017-09-06," $12,267.82 "
2017-09-07," $12,108.10 "
2017-09-08," $10,999.35 "
2017-09-09," $3,709.72 "
2017-09-10," $6,221.28 "
2017-09-11," $22,615.29 "
2017-09-12," $14,395.78 "
2017-09-13," $10,616.52 "
2017-09-14," $11,176.05 "
2017-09-15," $8,697.48 "
2017-09-16," $3,191.34 "
2017-09-17," $2,952.60 "
2017-09-18," $19,428.36 "
2017-09-19," $9,744.41 "
2017-09-20," $11,918.92 "
2017-09-21," $9,519.15 "
2017-09-22," $7,929.57 "
2017-09-23," $1,178.04 "
2017-09-24," $3,515.68 "
2017-09-25," $16,898.53 "
2017-09-26," $7,258.26 "
2017-09-27," $6,436.34 "
2017-09-28," $17,953.73 "
2017-09-29," $5,574.00 "
2017-09-30," $2,427.85 "
2017-10-01," $3,124.16 "
2017-10-02," $5,531.83 "
2017-10-03," $6,642.20 "
2017-10-04," $7,276.07 "
2017-10-05," $9,269.65 "
2017-10-06," $10,093.48 "
2017-10-07," $2,635.50 "
2017-10-08," $2,572.19 "
2017-10-09," $12,030.65 "
2017-10-10," $6,028.15 "
2017-10-11," $8,675.42 "
2017-10-12," $5,179.77 "
2017-10-13," $3,412.15 "
2017-10-14," $4,201.75 "
2017-10-15, $800.40 
2017-10-16," $3,261.71 "
2017-10-17," $5,221.01 "
2017-10-18," $6,914.74 "
2017-10-19," $5,338.76 "
2017-10-20," $3,361.90 "
2017-10-21," $1,883.50 "
2017-10-22," $5,870.04 "
2017-10-23," $6,917.70 "
2017-10-24," $5,121.04 "
